1,daimu_2.5-24_batch1,batch1,1,1,2.5,24,daimu,HG02397
10,daimu_5.0-24_batch1,batch2,1,10,5.0,04,daimu,HG02397
100,daimu_0.0-0_batch1,batch7,2,50,2.5,04,daimu,HG02187
11,daimu_ATM-04_batch1,batch2,1,11,5.0,24,daimu,HG02397
12,andwt_5.0-48_batch1,batch2,1,12,ATM,04,daimu,HG02397
13,andwt_5.0-48_batch1,batch2,1,13,5.0,48,andwt,HG01924
14,daimu_2.5-24_batch1,batch2,1,14,5.0,48,andwt,HG01566
15,andwt_5.0-48_batch1,batch2,1,15,2.5,24,daimu,HG00978
16,andwt_2.5-04_batch1,batch2,1,16,5.0,48,andwt,HG01918
17,andwt_ATM-24_batch1,batch2,1,17,2.5,04,andwt,HG01924
18,andmu_2.5-48_batch1,batch2,1,18,ATM,24,andwt,HG01566
19,andmu_ATM-24_batch1,batch3,1,19,2.5,48,andmu,HG01939
2,daimu_5.0-24_batch1,batch1,1,2,0.0,00,daimu,HG00978
20,andwt_5.0-04_batch1,batch3,1,20,ATM,24,andmu,HG01939
21,andwt_0.0-0_batch1,batch3,1,21,5.0,04,andwt,HG01924
22,andmu_5.0-48_batch1,batch3,1,22,0.0,00,andwt,HG01924
23,andwt_ATM-48_batch1,batch3,1,23,5.0,48,andmu,HG01939
24,andwt_ATM-04_batch1,batch3,1,24,ATM,48,andwt,HG01918
25,andwt_5.0-24_batch1,batch3,1,25,ATM,04,andwt,HG01924
26,andmu_2.5-24_batch1,batch3,1,26,5.0,24,andwt,HG01924
27,andwt_2.5-04_batch1,batch3,1,27,2.5,24,andmu,HG01939
28,andwt_ATM-48_batch1,batch3,1,28,2.5,04,andwt,HG01566
29,andwt_ATM-24_batch1,batch3,1,29,ATM,48,andwt,HG01566
3,andmu_ATM-48_batch1,batch1,1,3,5.0,24,daimu,HG00978
30,andwt_5.0-04_batch1,batch3,1,30,ATM,24,andwt,HG01918
31,daimu_2.5-04_batch1,batch3,1,31,5.0,04,andwt,HG01566
32,andwt_5.0-24_batch1,batch3,1,32,2.5,04,daimu,HG00978
33,andwt_0.0-0_batch1,batch4,1,33,5.0,24,andwt,HG01566
34,andwt_ATM-04_batch1,batch4,1,34,0.0,00,andwt,HG01566
35,andwt_ATM-24_batch1,batch4,1,35,ATM,04,andwt,HG01918
36,andwt_ATM-48_batch1,batch4,1,36,ATM,24,andwt,HG01924
37,andwt_2.5-24_batch1,batch4,1,37,ATM,48,andwt,HG01924
38,daimu_2.5-48_batch1,batch4,1,38,2.5,24,andwt,HG01566
39,daimu_ATM-48_batch1,batch4,1,39,2.5,48,daimu,HG02397
